Npedido;Fecha;Sucursal;Vendedor;Tipo;Categoria; Precio ; Costo ;Propina
1;30/4/2019;1;Maria;Comida;Gaseosa;$ 90,00;$ 18,00;5%
1;18/1/2018;1;Maria;Comida;Gaseosa;$ 90,00;$ 18,50;5%
1;13/4/2019;1;Maria;Comida;Gaseosa;$ 90,00;$ 12,60;5%
1;2/1/2018;1;Maria;Comida;Cervezas;$ 110,00;$ 18,00;5%
1;6/8/2018;1;Maria;Bebida;Postres;$ 80,00;$ 29,60;5%
1;26/10/2019;1;Maria;Bebida;Ensaladas;$ 150,00;$ 75,65;5%
2;5/5/2019;17;Miriam;Comida;Gaseosa;$ 90,00;$ 18,50;15%
2;22/11/2018;17;Miriam;Comida;Gaseosa;$ 90,00;$ 18,50;15%
2;19/4/2018;17;Miriam;Comida;Gaseosa;$ 90,00;$ 18,50;15%
2;10/6/2018;17;Miriam;Comida;Gaseosa;$ 90,00;$ 18,50;15%
2;24/1/2018;17;Miriam;Comida;Gaseosa;$ 90,00;$ 18,50;15%
2;8/9/2018;17;Miriam;Comida;Gaseosa;$ 90,00;$ 12,60;15%
2;7/8/2019;17;Miriam;Comida;Gaseosa;$ 90,00;$ 17,75;15%
2;22/10/2018;17;Miriam;Comida;Cervezas;$ 110,00;$ 21,90;15%
2;24/5/2018;17;Miriam;Comida;Cervezas;$ 110,00;$ 21,90;15%
2;4/9/2018;17;Miriam;Comida;Cervezas;$ 110,00;$ 18,00;15%
2;23/6/2018;17;Miriam;Bebida;Pastas;$ 220,00;$ 95,85;15%
2;22/8/2019;17;Miriam;Bebida;Pastas;$ 220,00;$ 95,85;15%
2;29/6/2019;17;Miriam;Bebida;Entradas;$ 105,00;$ 56,25;15%
2;7/5/2018;17;Miriam;Bebida;Entradas;$ 105,00;$ 63,18;15%
2;11/7/2018;17;Miriam;Bebida;Ensaladas;$ 150,00;$ 68,88;15%
2;14/2/2019;17;Miriam;Bebida;Ensaladas;$ 150,00;$ 63,00;15%
2;21/6/2019;17;Miriam;Bebida;Ensaladas;$ 150,00;$ 56,58;15%
2;29/6/2019;17;Miriam;Bebida;Ensaladas;$ 150,00;$ 56,58;15%
2;1/12/2018;17;Miriam;Bebida;Chatarra;$ 70,00;$ 60,06;15%
3;11/9/2018;1;Andres;Comida;Gaseosa;$ 90,00;$ 17,75;10%
